timestamp,open,high,low,close,adjusted close,volume,dividend amount
2023-01-27,141.4000,142.9850,132.9800,134.3900,134.3900,43101324,0.0000
2023-01-20,146.4200,147.1800,139.7500,141.2000,141.2000,21419368,0.0000
2023-01-13,144.0800,146.6600,142.9000,145.8900,145.8900,14580596,0.0000
2023-01-06,141.1000,144.2500,140.0100,143.7000,143.7000,13648755,0.0000
2022-12-30,141.7300,142.8100,139.4500,140.8900,140.8900,10477419,0.0000
2022-12-23,140.1600,143.0900,137.1950,141.6500,141.6500,19663576,0.0000
2022-12-16,147.8200,153.2100,138.9700,140.1600,140.1600,33572382,0.0000
2022-12-09,147.9400,149.1530,146.2900,147.0500,147.0500,15316930,0.0000
2022-12-02,147.9800,150.0100,145.6700,148.6700,148.6700,20066941,0.0000
2022-11-25,147.5500,150.4600,146.4500,148.3700,148.3700,16271883,0.0000
2022-11-18,142.6300,148.3100,142.0000,147.6400,147.6400,22034930,0.0000
2022-11-11,136.6400,144.1300,136.5100,143.1700,143.1700,25066114,1.6500
2022-11-04,138.0600,140.1700,133.9700,136.9600,135.3347,22491556,0.0000
2022-10-28,130.9000,138.8615,129.8500,138.5100,136.8663,26667185,0.0000
2022-10-21,121.8000,130.8450,121.4300,129.9000,128.3585,37309868,0.0000
2022-10-14,119.7900,122.5400,115.5450,120.0400,118.6155,22973512,0.0000
2022-10-07,120.1600,126.4600,118.0700,118.8200,117.4100,21614952,0.0000
2022-09-30,122.3000,124.2600,118.6100,118.8100,117.4001,22265241,0.0000
2022-09-23,126.4900,128.0600,121.7400,122.7100,121.2538,19442664,0.0000
2022-09-16,130.3300,130.9900,123.8300,127.2700,125.7597,27107187,0.0000
2022-09-09,127.8000,129.4900,126.2800,129.1900,127.6569,12004834,0.0000
2022-09-02,129.9900,131.4200,127.2400,127.7900,126.2735,15086608,0.0000
2022-08-26,137.6500,137.8500,130.3400,130.3800,128.8328,16982107,0.0000
2022-08-19,132.9600,139.3400,132.2400,138.3700,136.7280,17105977,0.0000
2022-08-12,133.1000,134.0900,129.1200,134.0100,132.4197,17254110,1.6500
2022-08-05,130.7500,132.8620,130.5100,132.4800,129.2605,17400572,0.0000
2022-07-29,128.4400,131.0000,127.5800,130.7900,127.6116,22223785,0.0000
2022-07-22,140.1500,140.3100,125.1300,128.2500,125.1333,66246811,0.0000
2022-07-15,140.6200,141.8700,135.0200,139.9200,136.5197,21089228,0.0000
2022-07-08,139.9700,141.3250,135.2700,140.4700,137.0563,16229131,0.0000
2022-07-01,142.2600,144.1550,139.2600,141.1200,137.6906,21052787,0.0000
2022-06-24,135.9000,142.3700,135.9000,142.0600,138.6077,23921844,0.0000
2022-06-17,133.9700,138.4500,132.8500,135.0200,131.7388,34055621,0.0000
2022-06-10,142.9800,144.7300,135.2500,136.1900,132.8804,18914084,0.0000
2022-06-03,138.2000,142.5794,136.8100,141.1800,137.7491,19861566,0.0000
2022-05-27,129.5000,139.7394,129.4200,139.2700,135.8855,19618090,0.0000
2022-05-20,133.1000,138.3700,125.8000,128.4800,125.3577,27360441,0.0000
2022-05-13,134.4100,136.3450,128.4300,133.6000,130.3533,31171489,1.6500
2022-05-06,133.0000,137.9900,130.8900,137.6700,132.6958,27079586,0.0000
2022-04-29,137.5900,139.8700,132.0000,132.2100,127.4331,24560464,0.0000
2022-04-22,126.6000,141.8800,125.5300,138.2500,133.2548,47056765,0.0000
2022-04-14,127.9500,130.5800,124.9100,126.5600,121.9872,15342641,0.0000
2022-04-08,130.2600,131.2300,126.7300,127.7300,123.1149,16553021,0.0000
2022-04-01,130.8200,133.0800,128.0600,130.1500,125.4475,19183786,0.0000
2022-03-25,129.0000,131.4000,127.4000,131.3500,126.6041,15440952,0.0000
2022-03-18,124.4500,128.9300,122.6850,128.7600,124.1077,22675632,0.0000
2022-03-11,126.4700,128.3450,123.1250,123.9600,119.4812,23784887,0.0000
2022-03-04,122.2100,127.3500,120.7000,126.6200,122.0451,26131658,0.0000
2022-02-25,124.2000,125.0000,118.8100,124.1800,119.6932,20417161,0.0000
2022-02-18,132.5900,132.6500,123.6100,124.3500,119.8571,26022824,0.0000
2022-02-11,137.4500,138.3500,132.3800,132.6900,127.8957,23489144,1.6400
2022-02-04,134.0900,138.8200,132.3000,137.1500,130.5906,27665550,0.0000
2022-01-28,127.9900,137.3361,124.1930,134.5000,128.0673,52800401,0.0000
2022-01-21,132.9500,133.9000,129.2700,129.3500,123.1636,20520487,0.0000
2022-01-14,134.4700,136.2000,127.9700,134.2100,127.7912,32044685,0.0000
2022-01-07,134.0700,142.2000,132.5100,134.8300,128.3815,36013766,0.0000
2021-12-31,130.6300,134.9900,129.9500,133.6600,127.2675,18454937,0.0000
2021-12-23,125.7200,130.9600,124.7000,130.6300,124.3824,17369625,0.0000
2021-12-17,123.7600,128.6400,120.7900,127.4000,121.3069,35216850,0.0000
2021-12-10,119.4000,125.3300,119.4000,124.0900,118.1552,25031512,0.0000
2021-12-03,118.6200,119.6100,116.4500,118.8400,113.1563,36059651,0.0000
2021-11-26,116.0000,118.8100,114.5600,115.8100,110.2712,17875027,0.0000
2021-11-19,119.5400,120.1600,115.2700,116.0500,110.4997,24272797,0.0000
2021-11-12,123.9850,124.7800,118.7800,118.9600,113.2705,29109912,1.6400
2021-11-05,125.0500,127.2900,119.9000,123.6100,116.1223,29791780,0.0000
2021-10-29,127.5300,128.6500,124.6200,125.1000,112.3538,34288134,0.0000
2021-10-22,144.0000,144.9400,126.6110,127.8800,114.8505,59731582,0.0000
2021-10-15,143.5000,144.8500,139.6600,144.6100,129.8759,16262687,0.0000
2021-10-08,142.7400,146.0000,140.8900,143.2200,128.6276,27211291,0.0000
2021-10-01,137.9600,143.9700,136.4400,143.3200,128.7174,23824191,0.0000
2021-09-24,133.9000,138.4800,132.7800,137.4900,123.4814,18425230,0.0000
2021-09-17,138.4000,138.9900,135.0500,135.2300,121.4516,20130213,0.0000
2021-09-10,139.6500,139.7900,137.0000,137.0200,123.0593,13754250,0.0000
2021-09-03,139.5000,140.9400,138.8150,139.5800,125.3584,13345045,0.0000
2021-08-27,139.6200,140.8000,138.4000,139.4100,125.2057,12376600,0.0000
2021-08-20,143.2300,143.7400,137.2100,139.1100,124.9363,16189007,0.0000
2021-08-13,142.2000,143.5800,140.3400,143.1800,128.5916,18462255,1.6400
2021-08-06,141.4500,144.7000,141.0300,144.0900,127.9236,16428567,0.0000
2021-07-30,141.3900,143.6400,140.7900,140.9600,125.1448,16120616,0.0000
2021-07-23,136.4500,144.9200,136.2089,141.3400,125.4822,34786264,0.0000
2021-07-16,141.4300,141.9599,138.5900,138.9000,123.3159,18659679,0.0000
2021-07-09,139.9900,141.9800,137.1000,141.5200,125.6420,21544898,0.0000
